time,price,deltaCategory,volume
15:03:14,2823.25,5,1
15:03:14,2823.00,1,1
15:03:17,2823.25,3,10
15:03:17,2823.00,1,1
15:03:18,2823.25,5,4
15:03:19,2823.50,4,5
15:03:19,2823.25,1,1
15:03:21,2823.50,1,1
15:03:27,2823.75,5,5
15:03:28,2823.50,1,4
15:03:28,2823.25,1,1
15:03:30,2823.50,1,1
15:03:30,2823.75,5,1
15:03:31,2823.50,3,5
15:03:34,2823.25,3,10
15:03:34,2823.00,1,4
15:03:35,2823.25,3,6
15:03:35,2823.00,1,2
15:03:39,2823.50,5,6
15:03:40,2823.75,5,1
15:03:41,2823.50,1,1
15:03:41,2823.25,1,1
15:03:41,2823.75,5,1
15:03:44,2823.50,5,5
15:03:45,2823.75,5,1
15:03:46,2823.50,1,4
15:03:47,2823.25,1,1
15:03:50,2823.50,5,1
15:03:50,2823.25,1,11
15:03:51,2823.00,2,15
15:03:58,2822.75,1,3
15:04:01,2823.00,5,7
15:04:02,2822.75,2,23
15:04:03,2822.50,1,4
15:04:04,2822.75,5,3
15:04:07,2822.50,2,11
15:04:07,2822.25,1,1
15:04:07,2822.50,5,3
15:04:09,2822.25,1,6
15:04:09,2822.00,1,4
15:04:10,2822.25,3,10
15:04:13,2822.00,1,10
15:04:13,2821.75,2,9
15:04:14,2821.50,1,14
15:04:14,2821.25,1,8
15:04:14,2821.00,1,3
15:04:14,2821.25,3,5
15:04:14,2821.50,5,4
15:04:14,2821.25,1,1
15:04:16,2821.50,5,7
15:04:19,2821.75,5,51
15:04:19,2822.00,5,3
15:04:19,2821.75,1,1
15:04:23,2822.00,2,10
15:04:27,2821.75,3,4
15:04:31,2821.50,2,17
15:04:32,2821.25,1,4
15:04:33,2821.50,5,2
15:04:33,2821.75,5,7
15:04:34,2821.50,1,1
15:04:35,2821.75,5,5
15:04:35,2822.00,5,7
15:04:35,2822.25,5,6
15:04:35,2822.50,5,7
15:04:35,2822.25,2,3
15:04:35,2822.00,2,5
15:04:39,2821.75,1,6
15:04:39,2822.00,5,2
15:04:43,2822.25,4,4
15:04:48,2822.00,1,9
15:04:48,2822.25,5,2
15:04:49,2822.50,5,1
15:04:49,2822.75,5,4
15:04:52,2822.50,1,10
15:04:52,2822.25,1,5
15:04:53,2822.50,5,1
15:04:57,2822.75,5,4
15:04:59,2822.50,1,2
15:05:00,2822.75,3,12
15:05:00,2823.00,3,8
15:05:00,2823.25,5,4
15:05:02,2823.50,5,5
15:05:02,2823.25,1,1
15:05:04,2823.50,3,11
15:05:07,2823.75,5,6
15:05:07,2823.50,1,12
15:05:13,2823.25,3,28
15:05:16,2823.00,1,15
15:05:16,2822.75,1,2
15:05:16,2823.00,5,1
15:05:18,2822.75,3,9
15:05:18,2823.00,5,7
15:05:18,2823.25,5,14
15:05:18,2823.00,1,1
15:05:18,2823.25,3,2
15:05:19,2823.50,5,1
15:05:20,2823.00,2,11
15:05:21,2823.25,5,1
15:05:22,2823.00,1,2
15:05:23,2822.75,3,13
15:05:24,2822.50,1,8
15:05:24,2822.25,1,10
15:05:24,2822.00,1,11
15:05:24,2821.75,1,11
15:05:24,2821.50,1,12
15:05:24,2821.75,3,3
15:05:24,2822.00,5,1
15:05:24,2821.75,1,1
15:05:24,2822.00,4,5
15:05:24,2822.25,3,6
15:05:24,2822.00,1,1
15:05:25,2822.25,2,3
15:05:25,2822.00,1,5
15:05:26,2822.25,3,3
15:05:27,2822.00,2,6
15:05:31,2821.75,1,14
15:05:36,2822.00,5,9
15:05:36,2821.75,1,6
15:05:36,2821.50,3,25
15:05:38,2821.25,2,13
15:05:39,2821.00,2,11
15:05:39,2821.25,3,6
15:05:40,2821.00,2,10
15:05:41,2821.25,5,1
15:05:41,2821.00,1,2
15:05:43,2821.25,5,9
15:05:44,2821.50,5,5
15:05:45,2821.75,5,5
15:05:45,2822.00,5,3
15:05:45,2822.25,2,3
15:05:55,2822.50,3,5
15:05:55,2822.25,1,1
15:05:56,2822.50,5,1
15:05:56,2822.75,5,3
15:05:56,2823.00,5,3
15:06:00,2822.50,3,11
15:06:01,2822.25,1,1
15:06:04,2822.50,1,1
15:06:06,2822.25,1,1
15:06:12,2822.75,5,4
15:06:13,2822.50,2,6
15:06:15,2822.25,1,1
15:06:16,2822.50,4,23
15:06:19,2822.25,1,9
15:06:19,2822.00,1,7
15:06:20,2822.25,5,1
15:06:21,2822.00,1,2
15:06:23,2822.25,5,3
15:06:24,2822.50,4,30
15:06:27,2822.25,1,3
15:06:31,2822.50,1,4
15:06:31,2822.25,1,1
15:06:38,2822.50,2,8
15:06:42,2822.25,1,10
15:06:51,2822.50,2,3
15:06:52,2822.25,1,4
15:06:54,2822.00,1,22
15:06:59,2821.75,1,10
15:06:59,2822.00,5,2
15:07:06,2821.75,2,6
15:07:10,2821.50,1,1
15:07:11,2821.75,5,3
15:07:12,2822.00,5,1
15:07:13,2821.75,1,3
15:07:13,2822.00,5,3
15:07:16,2821.75,1,4
15:07:19,2822.00,5,5
15:07:19,2822.25,5,2
15:07:21,2821.75,1,4
15:07:24,2822.00,5,3
15:07:29,2821.75,1,2
15:07:32,2822.00,5,2
15:07:32,2822.25,5,3
15:07:32,2822.00,1,1
15:07:33,2822.25,5,1
15:07:36,2822.00,1,3
15:07:53,2822.25,4,27
15:07:55,2822.00,1,9
15:08:02,2821.75,2,12
15:08:06,2822.00,5,12
15:08:36,2821.75,2,23
15:08:37,2821.50,1,2
15:08:38,2821.75,4,6
15:08:38,2821.50,1,2
15:08:44,2821.75,5,1
15:08:49,2821.50,2,13
15:08:49,2821.25,1,10
15:08:49,2821.00,1,2
15:08:50,2821.25,5,7
15:08:50,2821.50,5,1
15:08:51,2821.25,1,3
15:08:51,2821.00,1,4
15:08:55,2821.25,3,9
15:08:55,2821.00,1,1
15:08:55,2821.25,5,1
15:08:57,2821.00,1,2
15:08:59,2821.25,5,1
15:09:01,2821.00,1,1
15:09:02,2821.25,5,1
15:09:02,2821.00,1,52
15:09:02,2820.75,1,10
15:09:02,2821.00,5,2
15:09:03,2820.75,1,3
15:09:04,2820.50,2,15
15:09:05,2820.75,5,3
15:09:08,2820.50,1,4
15:09:11,2820.75,2,9
15:09:11,2820.50,1,4
15:09:12,2820.75,5,4
15:09:12,2821.00,5,7
15:09:13,2820.75,1,3
15:09:13,2820.50,1,2
15:09:15,2820.75,5,3
15:09:20,2820.50,1,10
15:09:20,2820.25,1,10
15:09:29,2820.50,1,9
15:09:30,2820.75,5,1
15:09:33,2820.50,1,3
15:09:36,2820.25,1,17
15:09:36,2820.00,1,31
15:09:36,2819.75,1,16
15:09:36,2819.50,1,20
15:09:36,2819.25,1,29
15:09:36,2819.00,1,14
15:09:36,2819.25,2,4
15:09:36,2819.50,5,4
15:09:36,2819.25,1,3
15:09:38,2819.50,2,19
15:09:38,2819.75,5,12
15:09:38,2820.00,5,2
15:09:38,2819.75,1,1
15:09:38,2820.00,5,3
15:09:39,2819.75,1,1
15:09:39,2820.00,5,2
15:09:39,2819.75,1,1
15:09:40,2820.00,3,6
15:09:40,2820.25,5,2
15:09:40,2820.00,1,1
15:09:40,2820.25,5,5
15:09:40,2820.50,5,8
15:09:40,2820.75,5,2
15:09:40,2820.50,1,46
15:09:41,2820.25,1,7
15:09:44,2820.00,2,11
15:09:44,2820.25,5,2
15:09:48,2820.00,4,7
15:09:49,2820.25,5,2
15:09:57,2820.00,2,11
15:09:58,2819.75,1,6
15:09:58,2819.50,1,3
15:09:59,2819.75,5,4
15:09:59,2820.00,5,1
15:09:59,2819.75,1,1
15:09:59,2819.50,1,10
15:10:03,2819.75,5,9
15:10:03,2819.50,1,9
15:10:03,2819.25,1,7
15:10:03,2819.00,1,5
15:10:06,2819.50,2,4
15:10:06,2819.75,5,1
15:10:07,2819.50,1,3
15:10:07,2819.25,1,1
15:10:07,2819.75,5,1
15:10:07,2819.50,1,1
15:10:10,2819.25,1,2
15:10:11,2819.50,3,5
15:10:11,2819.25,1,3
15:10:11,2819.50,5,1
15:10:14,2819.25,1,3
15:10:16,2819.75,5,3
15:10:16,2820.00,5,1
15:10:17,2819.75,5,1
15:10:17,2819.50,1,1
15:10:18,2819.75,5,1
15:10:19,2819.25,1,2
15:10:20,2819.50,5,2
15:10:21,2819.25,1,3
15:10:29,2819.50,2,11
15:10:30,2819.75,5,1
15:10:33,2819.50,1,6
15:10:37,2819.75,3,3
15:10:37,2819.50,1,4
15:10:41,2819.75,3,2
15:10:42,2820.00,5,13
15:10:42,2820.25,5,7
15:10:42,2820.50,5,4
15:10:42,2820.75,5,2
15:10:42,2820.50,5,3
15:10:42,2820.25,1,5
15:10:42,2820.00,1,10
15:10:42,2820.25,1,3
15:10:42,2820.00,1,7
